Epoch 1/5 | Train Loss: 2.0431 | Test Loss: 1.7953 | Test Accuracy: 0.6317
Epoch 2/5 | Train Loss: 1.5643 | Test Loss: 1.3734 | Test Accuracy: 0.6555
Epoch 3/5 | Train Loss: 1.2349 | Test Loss: 1.1356 | Test Accuracy: 0.6605
Epoch 4/5 | Train Loss: 1.0541 | Test Loss: 1.0034 | Test Accuracy: 0.6701
Epoch 5/5 | Train Loss: 0.9478 | Test Loss: 0.9208 | Test Accuracy: 0.6876
Epoch 1/5 | Train Loss: 2.0259 | Test Loss: 1.7697 | Test Accuracy: 0.6282
Epoch 2/5 | Train Loss: 1.5400 | Test Loss: 1.3544 | Test Accuracy: 0.6508
Epoch 3/5 | Train Loss: 1.2198 | Test Loss: 1.1248 | Test Accuracy: 0.6617
Epoch 4/5 | Train Loss: 1.0451 | Test Loss: 0.9960 | Test Accuracy: 0.6719
Epoch 5/5 | Train Loss: 0.9418 | Test Loss: 0.9153 | Test Accuracy: 0.6836
Epoch 1/20 | Train Loss: 2.0480 | Test Loss: 1.7958 | Test Accuracy: 0.6359
Epoch 2/20 | Train Loss: 1.5667 | Test Loss: 1.3783 | Test Accuracy: 0.6502
Epoch 3/20 | Train Loss: 1.2424 | Test Loss: 1.1437 | Test Accuracy: 0.6571
Epoch 4/20 | Train Loss: 1.0629 | Test Loss: 1.0108 | Test Accuracy: 0.6669
Epoch 5/20 | Train Loss: 0.9559 | Test Loss: 0.9268 | Test Accuracy: 0.6795
Epoch 6/20 | Train Loss: 0.8851 | Test Loss: 0.8688 | Test Accuracy: 0.6947
Epoch 7/20 | Train Loss: 0.8343 | Test Loss: 0.8258 | Test Accuracy: 0.7087
Epoch 8/20 | Train Loss: 0.7952 | Test Loss: 0.7925 | Test Accuracy: 0.7265
Epoch 9/20 | Train Loss: 0.7639 | Test Loss: 0.7642 | Test Accuracy: 0.7333
Epoch 10/20 | Train Loss: 0.7378 | Test Loss: 0.7406 | Test Accuracy: 0.7415
